content;score;value;target
Smuanya lancar jaya no kenadala , is the best pokonya , Itu bagi yang mengalami crash bug dan lag semacam nya ,positif ajh mungkin hp nya kentamg ???? , tmn gw ram 4 juga suka crash wkwkwk kadang mesen 1 datemg 3????;5;POSITIF;1
Membantu memenuhi kebutuhan hidup, semua jadi lebih mudah, praktis dan menyenangkan. Walaupun server sering crash dan membuat saya menunggu lama, semoga bisa ditingkatkan terus pelayanannya. Maju terus ya??;5;POSITIF;1
"Halo, saya mengalami masalah dengan aplikasi gojek milik saya ketika mengalami pembaharuan aplikasi pagi ini. Tiba-tba saja, pembaharuan gagal dan begitu saya akan membuka aplikasi di ponsel saya, terbilang ""Aplikasi tidak diinstal"". Seolah-olah pembaharuan tersebut membuat gojek ter-uninstall secara otomatis, padahal jelas-jelas saya menekan pembaharuan saat diminta. Sayang sekali untuk gojek yang besar dan aplikasinya yang berguna.";5;POSITIF;1
Ini kenapa ya... Setiap mau buka aplikasi gojek. Nge close sendiri, udah coba di instal ulang. Tetep ga bisa bisa;5;POSITIF;1
Semakin kesini menyusahkan pelanggan, akun lama saya sudah ditutup atau nonaktif oleh gojek, namun di akun baru tidak bisa upgrade ke gopay plus dengan alasan ktp sudah pernah terdaftar! Tidak jelas, tidak membantu.;5;POSITIF;1
Kasih bintang lima biar kebaca, no saya hilang pin lupa, bagaimana saya bisa masuk, susah bener, ewallet biru tinggal scan wajah udah bisa masuk, jangan pake apk ini lah, menyulitkan;5;POSITIF;1
Sangat memuaskan, jika ada keluhan cepat tanggap dan banyak promo discountnya yg selalu di nanti.;5;POSITIF;1
Sudah bagus and nyaris sempurna. Tolong tambahin mode gelap atau malam seperti aplikasi tetangga.;5;POSITIF;1
Sebaiknya cari driver yang jaraknya dekat dengan konsumen jadi tidak membuat driver kecewa kalau dicancel terimakasih telah memudahkan perjalanan kami;5;POSITIF;1
Kenapa ya setelah tampilan baru di GoMart. Gak bisa pilih Minimarket nya;5;POSITIF;1
Aku seringnya pake buat layanan go food sih karna untuk rekomendasi makanannya dia jago banget nampilin yang top dan variasi nya menarik. Ditambah voucher diskon yang gokil abis haha selalu jadi penyelamat untuk jajan bareng temen temen kantor, udah gitu untuk UI nya dia ga berat. Ga kaya apk kompetitor yang kalo ngeklik satu fitur aja Lola abisss. Jadi bikin males gitu. hope it continues to grow well gojek!;5;POSITIF;1
Halo,kenapa saya skrng tidak terima email invoice ya setelah menggunakan jasa layanan gocar / gojek.( Mahal download tapi gak kirim ke email ) Sekarang harus kerja dua kali... Dowload dulu baru kirim Email sudah terferifikasi dari lama, dan dulu lancar2 aja... Selalu dapat email transakasi.. sekarang jarang.;5;POSITIF;1
Kenapa nge close terus, gsk bisa lihat maps serta posisi drivernya suka berubah;5;POSITIF;1
Gampang dipakai nya..mantab..sayangnya sampai saat ini masih belum dapat fitur paylater nya saja;5;POSITIF;1
Untuk mencari driver cukup cepat terkadang tidak dapat driver sama sekali, kekurangan dapat menggunakan voucher harus isi gopay gk bisa tunai;5;POSITIF;1
Kalo mesen makanan terlalu lama datangnya. Kalo milih driver jangan liat pangkatnya. Liat kerjanya. Makanan udah jadi dari resto. Sampe satu jam lebih baru datang.. kecewa...bukan nya tambah canggih. Mana apk nya berat banget dihp..;5;POSITIF;1
Setiap buka aplikasi ini selalu nge close sendiri... Boro² mau pesan atau lain² sudah keluar .. mau isi in saldo mlah takut sendri ..;5;POSITIF;1
Simple mudah dipahami juga beragam fitur pembayaran.... Sukses selalu Gojek?? terima kasih sudah memberikan pelayanan terbaik;5;POSITIF;1
Sangat memuaskan dan harganya juga lebih murah hanya kadang kadang agak susah mendapatkan pengemudi;5;POSITIF;1
Sangat membantu di saat2 laper dan butuh kecepatan waktu;5;POSITIF;1
